_id,height,is_habit_drink,is_habit_smoke,is_verified,what_to_find,who_to_date,score
0,175,0,0,1,0,0,55.38829481
1,177,0,0,1,0,0,33.7404719
2,175,0,0,1,1,1,52.67590102
3,177,0,0,1,1,0,59.35263621
4,178,0,0,1,2,2,13.22900265
5,151.1908341,1,1,1,2,2,12.45152879
6,175,0,0,1,2,0,15.30319146
7,165,1,1,1,2,0,57.73519701
8,187,1,1,1,0,0,38.76013393
9,176,0,0,1,0,0,56.91408417
10,5.6,0,0,1,3,0,17.72953246
11,156,1,1,1,4,1,42.47583749
12,151.1908341,1,1,1,2,2,7.432567981
13,171,1,0,1,0,0,12.45596793
14,188,1,0,1,3,0,37.2405541
15,163,0,0,1,0,0,16.12330086
16,1,0,1,1,2,2,15.30319146
17,176,0,0,1,2,0,33.67908556
18,90,2,2,1,0,3,15.30319146
19,151.1908341,1,1,1,2,2,11.11670308
20,5.8,1,1,1,0,0,12.45152879
21,172,2,0,1,1,0,15.94699578
22,152,0,0,1,3,2,15.66688985
23,151.1908341,1,0,1,2,1,8.941035615
24,151.1908341,1,1,1,2,2,15.30319146
25,5.8,1,1,1,2,0,18.42642476
26,178,1,0,1,2,0,14.30109881
27,151.1908341,1,1,1,2,2,18.42642476
28,5.7,0,0,1,3,0,18.42642476
29,181,1,0,1,0,0,15.30319146
30,151.1908341,1,0,1,3,1,13.20243847
31,182,2,2,1,4,0,52.51830966
32,151.1908341,1,1,1,2,0,17.95011447
33,167,0,0,1,1,0,17.70488215
34,5.8,2,1,1,3,0,20.10229901
35,151.1908341,1,2,1,3,1,19.25337355
36,151.1908341,0,2,1,4,1,25.07711499
37,151.1908341,1,2,1,2,1,20.03287774
38,151.1908341,1,1,1,1,1,17.35600801
39,151.1908341,1,1,1,4,1,18.97141844
40,151.1908341,0,0,1,0,1,19.3935112
41,151.1908341,1,0,1,3,1,20.85300624
42,151.1908341,2,2,1,1,1,23.04147672
43,151.1908341,2,0,1,0,1,16.71027224
44,151.1908341,1,0,1,3,1,19.3472326
